-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 01/01/2020 
Location: Latitude  19.276   Longitude -99.1461 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2626.86 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS2M            MERRA-2 Wind Speed at 2 Meters (m/s) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,WS2M,RH2M,T2M_MAX,T2M_MIN,PRECTOTCORR
2015,1,1,0.87,65.88,19.51,5.12,0.0
2015,1,2,1.62,74.38,17.51,4.07,0.0
2015,1,3,1.22,69.75,15.12,4.48,0.0
2015,1,4,1.67,69.0,17.66,3.99,0.13
2015,1,5,1.86,79.25,15.67,2.11,0.12
2015,1,6,1.24,75.69,17.59,2.26,0.17
2015,1,7,1.87,78.0,15.56,4.4,0.56
2015,1,8,1.55,75.5,14.69,4.3,0.42
2015,1,9,0.56,73.75,15.35,4.65,0.7
2015,1,10,0.72,74.81,16.93,3.66,0.64
2015,1,11,0.51,65.56,19.49,3.89,0.0
2015,1,12,0.48,61.62,20.69,4.38,0.0
2015,1,13,0.47,56.69,19.9,5.23,0.01
2015,1,14,0.55,63.94,19.74,6.44,0.0
2015,1,15,0.55,71.0,20.68,5.98,0.01
2015,1,16,0.54,71.25,20.73,6.11,0.0
2015,1,17,0.71,69.38,20.51,6.1,0.0
2015,1,18,1.09,69.5,18.55,6.19,0.0
2015,1,19,1.06,70.56,19.21,5.39,0.0
2015,1,20,0.34,61.81,20.99,6.11,0.0
2015,1,21,1.15,73.88,19.94,6.97,0.4
2015,1,22,1.66,70.12,19.57,6.8,0.06
2015,1,23,1.47,67.62,19.66,4.96,0.12
2015,1,24,0.81,74.81,17.84,5.19,0.11
2015,1,25,0.94,75.38,16.5,6.61,0.02
2015,1,26,1.0,67.94,16.62,5.62,0.0
2015,1,27,1.09,58.44,21.07,4.56,0.0
2015,1,28,1.31,59.06,20.79,3.71,0.0
2015,1,29,1.28,51.38,19.87,3.51,0.0
2015,1,30,0.57,55.94,19.52,0.87,0.06
2015,1,31,1.68,62.94,19.1,1.95,0.0
2015,2,1,1.67,58.69,19.01,3.05,0.01
2015,2,2,1.16,71.62,17.69,2.19,1.35
2015,2,3,1.82,73.75,15.35,5.98,0.17
2015,2,4,1.17,65.06,20.14,4.64,0.0
2015,2,5,1.38,68.12,19.89,4.87,0.07
2015,2,6,0.98,63.12,19.93,3.37,0.02
2015,2,7,0.84,45.94,20.83,1.5,0.0
2015,2,8,1.12,36.62,21.49,4.97,0.0
2015,2,9,1.36,42.56,19.21,2.14,0.0
2015,2,10,0.69,50.44,20.49,0.73,0.0
2015,2,11,0.73,56.69,19.58,5.65,0.0
2015,2,12,0.71,77.12,15.95,6.18,2.79
2015,2,13,0.58,73.38,14.47,4.99,0.8
2015,2,14,0.59,66.88,17.91,3.63,0.1
2015,2,15,1.16,67.0,18.4,5.91,0.05
2015,2,16,1.56,64.0,17.73,6.5,0.02
2015,2,17,1.02,60.81,19.44,7.53,0.02
2015,2,18,1.05,59.75,22.4,6.68,0.01
2015,2,19,0.99,63.62,23.01,6.62,0.08
2015,2,20,1.41,67.06,22.65,6.31,0.32
2015,2,21,0.88,55.56,24.27,6.58,0.03
2015,2,22,0.55,47.25,25.04,8.8,0.04
2015,2,23,1.31,48.81,24.13,7.28,0.01
2015,2,24,1.08,55.62,24.55,6.6,0.0
2015,2,25,1.82,58.75,23.85,6.63,0.0
2015,2,26,1.52,53.12,22.82,5.19,0.02
2015,2,27,1.43,56.06,21.47,3.98,0.01
2015,2,28,0.73,56.12,23.05,6.03,0.0
2015,3,1,0.58,52.94,24.38,5.84,0.0
2015,3,2,0.57,49.88,24.96,7.17,0.0
2015,3,3,0.96,49.88,24.71,5.51,0.0
2015,3,4,1.18,49.44,25.15,6.92,0.0
2015,3,5,1.62,56.56,23.33,7.45,0.26
2015,3,6,0.86,61.0,23.74,5.52,0.64
2015,3,7,0.49,62.75,23.48,6.14,0.55
2015,3,8,0.51,67.81,20.64,7.57,0.25
2015,3,9,1.45,63.88,21.4,6.19,0.88
2015,3,10,0.99,69.69,16.25,7.1,5.45
2015,3,11,1.29,70.25,15.53,4.98,7.63
2015,3,12,1.98,67.38,16.66,2.88,0.76
2015,3,13,2.01,69.94,17.55,3.42,2.6
2015,3,14,1.9,82.81,13.78,6.13,12.31
2015,3,15,1.57,84.69,13.23,7.4,6.39
2015,3,16,1.52,73.06,17.76,6.4,2.07
2015,3,17,0.8,74.31,20.78,6.77,0.14
2015,3,18,0.86,69.44,22.65,7.94,0.1
2015,3,19,0.7,71.56,22.37,8.69,1.74
2015,3,20,0.66,71.81,21.83,7.94,0.69
2015,3,21,1.13,65.75,22.53,8.53,0.17
2015,3,22,0.81,65.62,22.36,9.19,0.98
2015,3,23,0.79,78.12,22.0,9.37,6.06
2015,3,24,1.15,68.12,23.9,8.16,5.05
2015,3,25,1.12,62.88,23.19,7.81,1.33
2015,3,26,1.19,63.31,23.03,7.59,0.59
2015,3,27,1.16,74.0,20.38,8.43,4.71
2015,3,28,1.11,70.56,20.78,7.91,4.39
2015,3,29,0.84,66.06,21.26,7.34,0.69
2015,3,30,1.06,56.75,22.82,7.4,0.09
2015,3,31,0.92,61.5,24.01,6.83,0.03
2015,4,1,0.98,66.31,23.16,8.71,1.35
2015,4,2,0.41,65.06,23.73,9.89,1.23
2015,4,3,0.92,62.5,26.08,9.77,0.08
2015,4,4,1.47,55.81,23.73,9.35,0.08
2015,4,5,0.64,61.25,24.23,6.58,0.01
2015,4,6,1.38,61.0,25.47,9.44,0.36
2015,4,7,1.3,59.44,26.21,8.44,0.12
2015,4,8,0.7,59.69,26.04,8.92,0.12
2015,4,9,0.86,56.56,26.09,9.85,0.12
2015,4,10,1.05,61.19,25.11,10.19,0.61
2015,4,11,0.86,72.88,21.35,10.49,1.6
2015,4,12,1.28,65.56,23.34,10.33,0.5
2015,4,13,0.98,66.69,21.48,9.51,2.0
2015,4,14,1.1,66.5,23.34,8.69,1.21
2015,4,15,1.05,61.5,24.33,8.23,0.99
2015,4,16,1.28,54.69,25.8,7.86,0.26
2015,4,17,0.8,47.12,26.63,9.75,0.42
2015,4,18,1.48,50.12,25.8,9.49,0.51
2015,4,19,1.56,56.5,25.58,8.43,0.01
2015,4,20,1.09,52.44,26.47,8.76,0.05
2015,4,21,1.04,53.75,27.23,10.0,1.03
2015,4,22,0.49,61.25,26.12,10.15,0.81
2015,4,23,0.68,54.0,26.54,11.96,1.36
2015,4,24,1.62,57.19,26.54,10.47,0.37
2015,4,25,1.34,54.31,26.16,9.62,0.35
2015,4,26,1.43,53.44,26.44,9.67,0.06
2015,4,27,1.55,54.38,25.87,10.26,0.0
2015,4,28,0.96,67.06,24.01,9.57,0.63
2015,4,29,1.22,78.25,17.01,10.24,5.96
2015,4,30,1.59,65.69,22.31,9.09,1.11
2015,5,1,1.34,62.81,22.99,9.07,0.48
2015,5,2,0.73,67.38,22.76,9.11,0.57
2015,5,3,0.88,64.38,24.72,9.28,0.41
2015,5,4,0.79,62.88,25.86,9.92,2.18
2015,5,5,0.92,60.88,26.59,9.52,1.36
2015,5,6,0.75,62.31,25.73,10.35,6.35
2015,5,7,1.16,64.94,23.34,10.55,4.83
2015,5,8,1.09,59.62,26.41,10.6,2.02
